Address,NFT Count,YAY Reward
0xbA26877C2036E1f2BaBA63BDd5Bfe996B050E13c,332,332
0xdbF05b1e02F2f6dd2304DF25a3B3298b7ce41C65,290,290
0xE5c0fFFDFf9F6AD7e871dD7071bda245C832E91c,288,288
0xf1bF8101C9Ae2376aff79c50653F487c40Fa5B84,257,257
0x513Fa631c0E97232009a77ED117d060D966F7e53,228,228
0x623c7659189F46AEec3Bb1F3F23D3d02d613748A,208,208
0xc5765E792E6A9DB2a6c134cF9a048f8c538De464,198,198
0xb069939dAf374B7f9Ec0dB2a70264C13077d2E35,195,195
0x298D26dABC08dBA3bc0e5e5dA88ceC5f9781E5f3,174,174
0xF1B3A985E3aC73dc81f8fcD419c4dda247d2292c,171,171
0xfDF7a7A9fF5Cbac5D1A5Db56af059f593B329380,159,159
0x98453918F1f5C663A7B8ba1fD91eb888B4c47870,155,155
0x8995c3BeE9655f41DEe4F34f9508a56589252f67,151,151
0xAdC3EF5d0BA43564A88C1cB9fd4CeD1479bDfAf1,138,138
0x4d9f937Ed2aE56aF06Dc65C3542400CeCbD36Cbb,130,130
0x65c76A684dBFd773BAB8a7463E7498686BaFD833,128,128
0x6de8bdD19Cd76b89Ea2EB1ab6d9b245433652ef9,115,115
0xf16bcF775c9Bd603a55C06b4dCBF7D6A4453F287,109,109
0x9fb329DA4747b72730b08238f6Aa3c423A9632f6,108,108
0x7E524B47f79Ce997aD083fd76b0033CE5Bcf9165,92,92
0x835cCE0DE392E0C5c9bDb959e925d2510cf9b8A7,92,92
0xaCdb5EE33F9a8E3132943B5081ece5b12555D1c6,85,85
0x4aE91684870B8B9C30fD79eF329dbaa96487948E,82,82
0x1797081E8A85FD3Fa14735046C74133db94f7E92,66,66
0xF0e4e74Ce34738826477b9280776fc797506fE13,60,60
0x92945e8Bc0c302AA4cCB6d10ec130DdBEF437F69,57,57
0xEcb1Be73E15bf611DD8A2cDE19eDB7e988f26D0A,52,52
0x36BDF90e18E09Dd89Deb6079569434FCf0812af5,50,50
0x32cb4d6093B854061c63C1D3f243347a45A17E0B,50,50
0x99394b41Dc263d7C85AD09e44C51E0e72ac1ffD4,49,49
0x4b780f932313F70173Af6618DbEd2406e5c95907,45,45
0x22a2fa273DEFB76911274588396eE39DD0966288,45,45
0xF69B1fE8587275d4B8CF3c4A488EB6A0C6cb01E0,45,45
0x1028A54804B86aF8b037006EbadF042c650F18f1,44,44
0xEA22c027796F070Ff1C0b921808bb7256365de1F,43,43
0x5A70ec52E977B50c9fc12Ca0aA6d5e26E7C62291,43,43
0x0a1ccC5Aab66b90C6a71671df5b673D3E4A34d2d,43,43
0x74F51484484252D44D74CbC6D3e0380B6939bfCf,41,41
0x7F919A86ACdf025013BD04930e0761Cfe9ADdf40,41,41
0x94C47ed35fD041953352cD483b66ad1DBA05E31F,41,41
0xF86e8671CC14f5c38F1344fA00aa4729c1A7Fb6F,40,40
0x3F59Fdb338FA0157e2328470A113eC8f38e13797,39,39
0x3AC9E19507B2BeBd1Ea1D29f51C5eA36d221E780,38,38
0x591F8a2deCC1c86cce0c7Bea22Fa921c2c72fb95,37,37
0xc1066b388c877e433E615FdEda4efC79349aE89F,36,36
0x606081b530b65d7A11908500CAF5fC7Cdb81A294,36,36
0x266B0faD82DAeAFBcFDF95B3c71B8c43dc5C3039,34,34
0xbf4a788Ff0c64f72314F8bB34cfe03ff90878D40,33,33
0x953d2Ce4c2919Da0d31f9458a0346148927246a9,31,31
0x9C82303ce0bDa427D3aE13d7fFFf59e2A49A82AD,30,30
0xC8a186B3d28b83815da470624AF0432EB65D8bdD,29,29
0xbc204a037386B6C597087ee90f62ACb7C44b1955,29,29
0x99ce1B33765D0AB9f9d38905685b7d0CABa89B60,29,29
0x8348142049D036042056854Db492dC20D3cf6583,28,28
0x36629197ed96761481a4F0CeF9D6A39b371DfB4f,28,28
0x2bbE65b9b6DbaEE0345F135C54664e96CE2cBa49,27,27
0xe54DEd04d169A0CfADb9c4e260fDf4B1836c0E6B,27,27
0x86341401718Ad4C46a6C4663F3cfA61F4ca13F6B,27,27
0x5fBcE92A6bC6E876F9305E15CdbBBBcbEb0Fa67a,26,26
0x66f90AAe6c25576FB6c07f92646bE2A0328d0121,25,25
0xD1888Ea649a3144F992C9178190a7e53C21017ca,24,24
0x8eB79b0eB8c16a77B209730E6b9a4F6Da7B2479c,24,24
0x55544dd5db89EBBC837a4ae732236999721730fB,22,22
0x64905298C0E49751231fB9576903936744061E9c,22,22
0x32eC3E30d7Bc614DB839eAc69F70F486ebBc61eB,21,21
0xB5B589D6dA9Ae93C3666Bad7de74A752B7fAC239,21,21
0x6F2F3BB2A9E5938c4DC05a55EA82c8580a13e0E7,20,20
0x2d49d4FD2848C82f0A84B3f8DE3F11ac32308AE0,20,20
0x16317793C97A600E5433D917cD523f2Fb6B8D26F,20,20
0xdbFF52676193003c5293A91B243da80892b94Df9,20,20
0x0a5975421cAe8c22fD61f139c1Bf77d6f28cbf68,19,19
0x4b57c1466A95a238C5383dD55716Cf49eAaC687E,19,19
0xd806Cf828eA76eCa0a169E692d0bFb6AB05382Af,19,19
0xE4393084497014fE7E52AEe26c90Be2BC1275A6c,18,18
0x1f123a3478CBf31ACB175bfd5c5Ab05c885B7059,18,18
0x61068AbfB8349f90bd0bAb12347ec10e0C55C20f,18,18
